fips,intercept,SP,unemployment,mortgage_rates,ind_prod,labor_force,arima_error
17197,0.032606006,0.007781253,-0.007322974,0.010218687,-0.002588246,-0.00885539,0.020064642
29095,0.058897216,0.007908981,-0.019563039,-0.001825773,0.00476756,-0.005804035,0.062120947
25021,0.045110916,0.011881426,-0.005086749,0.013860906,-0.002558361,-0.015494667,0.005494482
48121,0.059634262,0.000755824,0.002097307,0.002575009,-0.008687486,0.019141263,0.017182553
35001,0.031800203,0.001864163,0.007387671,-0.011311233,0.020584741,-0.008591742,0.029531806
1073,0.036405206,0.002893997,-0.002925081,-0.013227532,0.011204164,0.008412759,0.032989866
34017,0.05037029,0.006853336,-0.011037748,0.006412096,-0.008219686,-0.011410785,-0.000806456
34025,0.026449056,0.00141453,0.007099656,-0.002452666,0.024443162,-0.02210606,0.014473336
47037,0.074055148,0.001269639,-0.024389655,-0.001513189,-0.017708458,-0.000792768,0.048022201
44007,0.046504973,0.011722668,-0.018693499,-0.000901271,0.000345155,-0.01086964,0.050282769
42017,0.02387088,-0.001350619,-0.002148003,0.001664304,0.009710273,-0.019589674,0.001478197
8041,0.063389654,0.004994008,0.002814042,-0.0105365,-0.001137142,0.024171635,0.040696246
24510,0.027891623,0.004743813,-0.004697376,0.007065233,0.009593246,-0.017514399,-0.002039286
12071,0.067962747,0.002241926,0.005648185,0.001854778,-0.021356595,0.024413432,0.02571491
40143,0.027626089,0.003674315,0.007508514,-0.006690714,0.009477794,-0.006827217,0.005201234
26081,0.081799726,0.00896705,-0.008375026,0.006494535,-0.00802766,-0.004135853,0.006081394
12105,0.08053792,0.01333992,-0.009504665,0.016089972,-0.005510289,-0.006745306,0.007978829
11001,0.051446024,0.012852901,0.012013908,0.012846163,2.01E-07,0.003171133,0.00070277
8031,0.084375933,0.002488837,-0.025059476,0.01333877,-0.025171272,-0.007027505,0.017704703
48157,0.039717006,0.006401569,-0.001222186,0.003925759,-0.004965506,0.008182669,0.042511727
34029,0.020126163,0.0051747,-0.001702942,-0.000354824,0.013388473,-0.020357266,0.028797628
8005,0.083843659,0.004531167,-0.028563451,0.006315604,-0.024190747,-0.013318459,0.004439086
42045,0.023573367,-0.005722017,0.01030761,-0.006970868,0.023237974,-0.012438951,0.010259815
25005,0.04030658,0.010855799,-0.00049906,0.007093766,0.010664802,-0.012572914,0.060236833
20091,0.044730759,0.003487958,-0.000921589,0.005184063,0.001834559,-0.002439286,0.046449976
12009,0.083423313,0.011032474,-0.044094526,0.016132197,-0.036325248,-0.018404921,0.031703119
39153,0.036408058,0.002075408,0.006312351,-0.004769749,0.019344808,-0.006409013,0.043960666
10003,0.023032761,0.00075198,-0.002598822,-0.00124522,0.009662036,0.005861509,0.013749543
24003,0.020665774,0.009876643,-0.009206565,0.005035785,-0.004089001,-0.01454889,0.000430329
34039,0.029776838,0.007019727,0.004285337,-0.004072843,0.016091634,-0.015701217,-0.003601687
39113,0.034840366,0.007407494,0.008765677,-0.002506156,0.021354654,0.033561597,0.133371417
8059,0.081836746,0.000970316,-0.035193681,0.003547454,-0.020198707,-0.018352043,0.009258468
41067,0.073205844,0.014376892,-0.0118093,0.008532197,-0.027464923,0.015033976,0.028100533
42071,0.03008926,-0.005589098,0.004613335,0.001047258,0.015847758,-0.010052205,0.036386787
31055,0.049471314,0.001742134,0.00099672,-0.00520849,0.009012009,0.002473787,0.025451363
49049,0.076529708,0.006514935,-0.004303055,0.007698322,-0.005394002,0.000196602,0.017086229
17089,0.034523561,0.011978757,-0.014067802,0.01939462,-0.002025643,-0.012155021,0.008413523
6099,0.11037338,0.037874696,0.028775278,0.037100146,-0.002613088,-0.008032464,0.017960402
34007,0.014641227,0.003044615,0.002110118,-0.012314119,0.024849968,0.001944566,0.083156982
27123,0.060777589,0.018087998,0.002921453,0.013692886,0.000357741,-0.005966801,0.000728884
34031,0.025486751,-0.001418721,0.01266456,0.002725205,0.027773827,-0.005098168,0.032219855
42029,0.024920154,0.002615935,-0.006704459,0.002983592,0.002468748,-0.015776082,7.61E-05
20173,0.030091281,-0.000980239,-0.002036031,-0.013235631,0.012484159,0.009931272,0.046785563
18089,0.034377172,-0.007241275,0.003458693,-0.008721185,0.026112257,-0.001072733,0.014700663
25023,0.040444791,0.005526471,-0.001286896,0.00942262,0.003688174,-0.014337548,0.016213632
12127,0.07931569,0.019332314,-0.029967218,0.014839632,-0.026657326,-0.004227073,0.00266977
34027,0.01421883,0.002681312,0.003902189,0.005030035,0.010951074,-0.016955919,-4.07E-07
37081,0.035443179,0.003170605,-0.021180634,-0.005720641,0.009867183,-0.028172536,0.030612678
55025,0.043379363,0.005296665,-0.017046354,-0.000678151,-0.00394526,-0.010419292,0.024389276
