State,StateID,County,index,intercept,SP,unemployment,mortgage_rates,ind_prod,inflation_expect
Illinois,17,Edwards,2652,7.03E-17,0.012274321,1.387396027,0.755446841,1.10650026,0.141852094
Missouri,29,Sullivan,2653,1.27E-16,-0.312249701,-0.27595874,0.224802916,0.072196922,-0.03939716
Colorado,8,Huerfano,2654,3.07E-16,0.297967368,-0.011571778,0.43961508,0.022729491,-0.074678348
Texas,48,Dallam,2655,-2.60E-16,0.175448974,-0.684319665,0.254230284,-0.556215881,-0.288100268
Missouri,29,Reynolds,2656,2.52E-17,0.336919031,-0.565492324,0.299404799,-0.629360624,-0.087345778
Georgia,13,Calhoun,2657,-8.67E-17,0.368159489,-0.298648119,0.185221249,-0.327949213,-0.509561359
Kansas,20,Greenwood,2658,-3.82E-17,0.348427498,0.517138145,0.042436298,0.396808405,-0.228449416
Nebraska,31,Antelope,2659,9.02E-17,-0.370111085,0.360210684,-0.800364699,0.637014941,-0.045573311
Colorado,8,Rio Blanco,2660,-8.33E-17,0.145299052,-1.096507278,0.255876906,-1.233514719,0.037877675
North Dakota,38,Benson,2661,-2.78E-17,-0.405925581,0.410891711,-0.066488986,0.782932654,-0.213153051
Virginia,51,Buena Vista,2662,1.77E-16,0.208243774,0.036323945,-0.727391221,0.096486484,-0.174858824
Michigan,26,Luce,2663,1.68E-16,0.13499907,0.178239652,-0.30043555,0.099778858,0.038452244
Minnesota,27,Wilkin,2664,2.29E-16,0.249146535,-1.061855272,0.374200714,-0.888592351,-0.162437586
Nebraska,31,Clay,2665,-6.59E-17,-0.248358136,-0.414450539,0.061159451,-0.183689835,0.165040608
Colorado,8,Bent,2666,1.94E-16,0.208685419,-0.272345391,0.403963465,-0.201371192,-0.262165065
Kansas,20,Ellsworth,2667,-6.94E-18,-0.375876497,1.568348815,-0.341159061,1.611969709,-0.153566888
Nebraska,31,Kearney,2668,2.01E-16,0.049075785,-0.672822996,0.38925703,-0.379915302,-0.159602908
South Dakota,46,Moody,2669,-1.16E-16,0.114673817,-0.232815697,0.301963649,0.089930961,-0.083788687
Oklahoma,40,Jefferson,2670,-6.25E-17,-0.221172852,0.01062198,-0.185141697,0.227891184,-0.278202646
Iowa,19,Osceola,2671,2.08E-17,0.111154609,0.33271857,-0.310157843,0.355228894,-0.494080647
Texas,48,Garza,2672,-2.78E-17,0.084800448,-0.433719405,-1.106564867,-0.272321045,-0.099893857
Texas,48,Floyd,2673,5.72E-17,0.156149462,-0.632957437,-0.745437641,-0.64962865,-0.142634744
Pennsylvania,42,Sullivan,2674,1.19E-16,-0.275500383,0.356521264,-0.051064826,0.204926745,0.237426612
South Dakota,46,Spink,2675,5.22E-16,-0.382437548,1.60778094,0.253531469,1.59305255,-0.061702282
Iowa,19,Wayne,2676,-1.56E-17,-0.31008026,-0.009879877,-0.05437517,0.308082019,-0.277377567
Missouri,29,Shelby,2677,3.09E-16,0.337851636,0.405848342,0.271017396,0.560748388,-0.370906154
Tennessee,47,Moore,2678,-9.80E-17,0.123120929,-0.061145657,0.204052965,0.095759932,-0.673238125
North Dakota,38,McKenzie,2679,4.86E-17,-0.343796145,0.032052176,-0.52802546,0.583435567,-0.25617924
Iowa,19,Taylor,2680,1.51E-16,-0.202504385,-0.351641137,0.514589008,-0.135054925,-0.307266224
Kentucky,21,Menifee,2681,-1.11E-16,-0.22981706,-0.671671667,0.329369847,-0.592632408,0.10736059
Vermont,50,Essex,2682,1.86E-17,-0.223023149,0.13505192,0.179716567,0.403985207,-0.518349391
Nebraska,31,Howard,2683,1.47E-17,-0.14416553,-0.334014771,-0.100444893,0.321896945,-0.275146606
Oklahoma,40,Greer,2684,-1.73E-16,-0.042082657,0.151876482,-0.231814166,0.202300925,0.155512201
Oklahoma,40,Cotton,2685,9.28E-17,0.145655826,0.371703685,-0.259687023,0.684468991,-0.470611124
Texas,48,Carson,2686,6.52E-16,0.350791302,-0.464318441,0.302067523,-0.406268058,-0.235533471
Montana,30,Pondera,2687,-2.50E-16,-0.132623818,-0.59560217,0.060203685,-0.320866316,-0.204981931
Texas,48,San Saba,2688,2.01E-16,0.154283679,0.350006431,0.573754884,0.45323029,0.267317276
Nebraska,31,Stanton,2689,1.13E-16,-0.377873805,-0.113370731,0.39560499,0.194480403,-0.155630075
Indiana,18,Ohio,2690,-4.42E-17,-0.190897618,0.556622452,0.080503169,1.032824177,-0.295079156
Georgia,13,Miller,2691,1.60E-16,0.155243085,-0.117057986,0.399547584,0.097810701,-0.206827271
Iowa,19,Audubon,2692,-9.02E-17,0.089058508,-0.278811391,-0.017251183,-0.324629718,-0.483916362
Colorado,8,Saguache,2693,-3.39E-16,0.096032009,-0.208514617,0.313135116,-0.296695365,-0.161580621
Kansas,20,Ottawa,2694,1.47E-16,0.335095007,-0.48244519,0.207172038,-0.326269537,-0.306697072
Montana,30,Teton,2695,1.73E-16,-0.035125497,0.774244736,-0.124034823,0.6437109,-0.001789899
Texas,48,Crosby,2696,1.98E-16,-0.008482715,0.363620922,0.182777151,0.459593837,-0.021529898
Georgia,13,Stewart,2697,2.26E-17,0.198664098,0.021002389,0.228197882,0.182047488,-0.247025043
Kansas,20,Harper,2698,-1.94E-16,-0.23456947,1.890768148,0.129127072,1.669126554,0.211332064
Minnesota,27,Grant,2699,2.78E-17,0.186276428,-0.040366024,0.255797166,0.345190451,-0.420734512
Illinois,17,Putnam,2700,-7.20E-17,0.251623977,0.090609866,0.369055306,0.276466064,-0.511576489
Kansas,20,Gray,2701,-1.30E-16,-0.078669437,0.229400235,0.033188569,0.755405024,-0.016789083
Nebraska,31,Dixon,2702,-1.01E-16,-0.210411519,-0.586154032,0.638476486,-0.600428002,0.251812505
Illinois,17,Stark,2703,1.04E-17,0.213085961,-0.309056684,0.110367818,-0.082362452,-0.445161544
Idaho,16,Bear Lake,2704,-1.02E-16,0.167746387,-0.625906085,0.395608459,-0.354400237,-0.268970294
Virginia,51,Covington,2705,4.86E-17,-0.000336439,0.633909407,-0.267990644,0.949874139,-0.172045494
Virginia,51,Emporia,2706,1.03E-16,-0.032429834,-0.007904108,-0.124378466,0.245596183,-0.63181489
Oklahoma,40,Coal,2707,2.55E-16,-0.108497917,0.660445607,-0.306204033,0.882728827,-0.362671879
Kansas,20,Morris,2708,-6.94E-17,0.069127857,-0.728816041,-1.103631406,-0.596123971,-0.108797223
Wisconsin,55,Iron,2709,-1.30E-17,0.13922201,0.817217862,0.319752367,0.825430481,-0.561953984
Texas,48,Lynn,2710,9.71E-17,-0.385335442,0.928234923,0.460150215,1.274015822,0.368752473
South Dakota,46,Hamlin,2711,1.52E-16,0.112645938,0.308278187,0.151687615,0.694042677,-0.259909384
Texas,48,Haskell,2712,2.08E-16,-0.295566907,-1.251437329,-0.136954379,-1.072432584,0.000588266
Minnesota,27,Lincoln,2713,-6.25E-17,0.160743722,-0.165904271,0.40506327,0.213395944,-0.233860006
Nebraska,31,Fillmore,2714,7.46E-16,-0.113480243,-0.208308334,-0.299181623,0.334270153,-0.151653448
Georgia,13,Warren,2715,2.17E-17,0.230679035,0.824291086,-0.057931224,1.145822693,-0.071611587
Colorado,8,Crowley,2716,2.58E-16,0.127762923,-0.320685366,0.333423829,-0.090057561,-0.210272538
Montana,30,Chouteau,2717,6.25E-17,0.338513488,-1.595948777,0.080352913,-1.415807972,-0.087396487
North Carolina,37,Hyde,2718,-2.35E-16,0.111353176,0.226680641,0.412603943,0.306925359,-0.49472709
Nevada,32,Lander,2719,-1.49E-16,0.2712525,-0.403701728,0.523819608,-0.645882286,0.234986208
Kansas,20,Stevens,2720,1.09E-16,-0.353937638,0.518794422,-0.049412403,0.594599152,-0.035211817
West Virginia,54,Wirt,2721,7.29E-17,-0.45068931,-0.007272271,-0.157643849,0.245790563,0.274746178
South Dakota,46,Day,2722,2.17E-16,-0.075517204,0.052468759,0.817104353,-0.030589494,0.274041036
Missouri,29,Atchison,2723,6.94E-18,-0.107151638,-0.053452781,0.546019197,0.340117959,-0.109673223
Oklahoma,40,Alfalfa,2724,2.78E-17,-0.096105828,-0.109194811,-0.896881163,-0.099102355,0.061089546
Oklahoma,40,Beaver,2725,7.60E-16,-0.349508565,-1.026278887,-0.216646613,-1.078304156,0.056061285
South Dakota,46,McCook,2726,-1.86E-16,0.265729028,0.203948812,-0.108648153,0.379833903,-0.601816904
Texas,48,Hansford,2727,-2.08E-17,-0.545709814,0.963851668,0.84248294,1.059771693,0.403745133
Montana,30,Broadwater,2728,-2.78E-17,-0.132889102,-0.16207884,-0.02886162,0.104773868,-0.483705889
Illinois,17,Gallatin,2729,2.36E-16,-0.119533901,-0.013810935,-0.815880424,-0.081254679,0.108262857
Tennessee,47,Van Buren,2730,-9.80E-17,0.093012362,0.061621,-0.21124007,0.193949689,-0.649856304
Nebraska,31,Boone,2731,6.94E-17,-0.325429665,0.232889279,-0.510714526,0.774133339,0.262104946
Colorado,8,Lincoln,2732,-2.26E-16,0.241071222,-0.599402769,0.045319202,-0.3526504,-0.201637055
Colorado,8,Gilpin,2733,2.57E-16,0.048342133,-0.667256184,0.426732482,-0.465150392,-0.283085451
Minnesota,27,Mahnomen,2734,1.67E-16,0.040825093,-1.116910234,-0.254438928,-0.528710606,-0.162439193
